"TimeRun1","Run1","Run2","Run3"
17.050,0.10,0.08,0.08
17.100,0.09,0.08,0.08
17.150,0.09,0.08,0.09
17.200,0.09,0.09,0.07
17.250,0.09,0.08,0.07
17.300,0.09,0.08,0.06
17.350,0.09,0.07,0.07
17.400,0.08,0.08,0.07
17.450,0.08,0.09,0.08
17.500,0.08,0.08,0.07
17.550,0.10,0.08,0.07
17.600,0.09,0.08,0.07
17.650,0.10,0.08,0.08
17.700,0.09,0.08,0.07
17.750,0.09,0.09,0.07
17.800,0.10,0.08,0.07
17.850,0.09,0.08,0.07
17.900,0.09,0.08,0.06
17.950,0.09,0.08,0.07
18.000,0.08,0.09,0.07
18.050,0.09,0.07,0.08
18.100,0.08,0.08,0.06
18.150,0.09,0.08,0.07
18.200,0.08,0.08,0.07
18.250,0.09,0.08,0.07
18.300,0.09,0.06,0.07
18.350,0.09,0.06,0.08
18.400,0.09,0.06,0.07
18.450,0.10,0.07,0.07
18.500,0.08,0.08,0.06
18.550,0.09,0.07,0.07
18.600,0.10,0.08,0.07
18.650,0.10,0.08,0.07
18.700,0.10,0.07,0.07
18.750,0.09,0.08,0.06
18.800,0.09,0.08,0.06
18.850,0.09,0.08,0.07
18.900,0.10,0.07,0.06
18.950,0.10,0.08,0.08
19.000,0.09,0.07,0.06
19.050,0.10,0.09,0.06
19.100,0.09,0.08,0.07
19.150,0.09,0.07,0.08
19.200,0.09,7.48,0.07
19.250,0.09,15.56,0.07
19.300,0.09,11.88,0.07
19.350,0.09,8.24,0.08
19.400,0.10,7.55,0.08
19.450,0.11,7.02,0.08
19.500,0.10,6.52,0.07
19.550,0.10,6.06,0.07
19.600,0.11,5.56,0.06
19.650,0.10,5.14,0.06
19.700,0.10,4.80,0.06
19.750,0.09,2.98,0.07
19.800,0.10,0.46,0.08
19.850,0.11,0.07,0.08
19.900,0.10,0.07,0.06
19.950,0.11,0.08,0.06
20.000,0.10,0.09,0.06
20.050,0.10,0.07,0.07
20.100,0.10,0.08,0.07
20.150,0.10,0.08,0.06
20.200,0.09,0.08,0.06
20.250,0.10,0.09,0.06
20.300,0.10,0.08,0.07
20.350,0.10,0.09,0.08
20.400,0.10,0.09,0.07
20.450,0.11,0.09,0.08
20.500,0.09,0.08,0.08
20.550,0.09,0.09,0.07
20.600,0.09,0.08,0.08
20.650,0.08,0.09,0.08
20.700,0.09,0.09,0.09
20.750,0.09,0.09,0.08
20.800,0.08,0.09,0.07
20.850,0.09,0.09,0.07
20.900,0.09,0.07,0.07
20.950,0.09,0.08,0.08
21.000,0.09,0.07,0.07
21.050,0.09,0.08,0.07
21.100,0.09,0.07,0.07
21.150,0.09,0.08,0.07
21.200,0.09,0.07,0.07
21.250,0.09,0.07,0.08
21.300,0.09,0.07,0.07
21.350,0.09,0.08,0.08
21.400,0.09,0.08,0.07
21.450,0.10,0.09,0.07
21.500,0.09,0.08,0.06
21.550,0.10,0.07,0.07
21.600,0.10,0.08,0.07
21.650,0.09,0.08,0.07
21.700,0.09,0.08,0.07
21.750,0.10,0.08,0.08
21.800,0.09,0.08,0.06
21.850,0.09,0.09,0.07
21.900,22.26,0.08,0.06
21.950,9.21,0.07,0.07
22.000,9.65,0.07,0.08
22.050,8.54,0.08,0.09
22.100,7.49,0.07,0.08
22.150,6.92,0.07,0.07
22.200,6.33,0.06,0.06
22.250,5.84,0.08,0.07
22.300,5.46,0.06,0.08
22.350,5.12,0.07,0.07
22.400,4.76,0.08,0.07
22.450,3.34,0.08,0.07
22.500,0.59,0.08,0.07
22.550,0.08,0.08,0.07
22.600,0.08,0.08,0.07
22.650,0.09,0.08,0.07
22.700,0.08,0.08,0.07
22.750,0.09,0.07,0.08
22.800,0.09,0.07,0.08
22.850,0.08,0.07,0.08
22.900,0.08,0.08,0.07
22.950,0.09,0.08,0.07
23.000,0.09,0.08,0.06
23.050,0.08,0.07,0.08
23.100,0.07,0.07,0.07
23.150,0.08,0.08,0.07
23.200,0.08,0.08,0.07
23.250,0.08,0.08,0.07
23.300,0.08,0.08,0.07
23.350,0.08,0.08,0.07
23.400,0.08,0.07,0.08
23.450,0.09,0.08,0.07
23.500,0.08,0.08,0.08
23.550,0.08,0.08,0.08
23.600,0.08,0.08,0.07
23.650,0.08,0.08,0.07
23.700,0.08,0.08,0.06
23.750,0.08,0.08,0.06
23.800,0.08,0.08,0.07
23.850,0.09,0.08,0.06
23.900,0.08,0.08,0.07
23.950,0.07,0.08,0.07
24.000,0.08,0.08,0.08
24.050,0.07,0.08,0.08
24.100,0.08,0.08,0.07
24.150,0.08,0.07,0.07
24.200,0.08,0.08,0.06
24.250,0.09,0.08,0.06
24.300,0.08,0.08,0.07
24.350,0.09,0.08,0.07
24.400,0.08,0.08,0.06
24.450,0.08,0.07,0.06
24.500,0.09,0.07,0.06
24.550,0.09,0.07,0.07
24.600,0.09,0.09,0.06
24.650,0.08,0.08,0.06
24.700,0.08,0.07,0.06
24.750,0.09,0.07,0.07
24.800,0.08,0.07,0.07
24.850,0.09,0.08,0.07
24.900,0.09,0.07,0.06
24.950,0.09,0.08,0.07
25.000,0.08,0.08,0.07
25.050,0.08,0.07,0.07
25.100,0.08,0.08,0.06
25.150,0.10,0.09,0.08
25.200,0.09,0.09,0.08
25.250,0.08,0.08,0.08
25.300,0.09,0.08,0.07
25.350,0.09,0.08,0.06
25.400,0.08,0.09,0.06
25.450,0.08,0.08,0.06
25.500,0.08,0.07,0.07
25.550,0.08,0.08,0.06
25.600,0.09,0.08,0.06
25.650,0.09,0.07,0.07
25.700,0.10,0.07,0.07
25.750,0.10,0.06,0.07
25.800,0.09,0.08,0.06
